"","OBJECTID","name","adress","okrug","rayon","form_of_incorporation","submission","tip_uchrezhdeniya","vid_uchrezhdeniya","telephone","web_site","e_mail","ID","ORIG_FID","POINT_X","POINT_Y","r500","r800","r1000"
"1676",1676,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением предметов социального профиля № 1386","109125, г. Москва, Васильцовский переулок, д. 1","Юго-Восточный административный округ","Рязанский район","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","(499) 796-22-60","schuvu1386.mskobr.ru","w1386@mail.ru",1101,1102,37.748759,55.716528,112.046929046592,159.511237056261,205.051212920353
"1677",1677,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением предметов художественно-эстетического цикла № 1405 ""Вдохновение""","117647, г.Москва, улица Академика Капицы, д.16","Юго-Западный административный округ","район Коньково","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","420-45-33","http://schuuz1405.mskobr.ru","sch1405@mail.ru",1102,1103,37.524093,55.627354,277.399086740085,358.241911430833,435.929609913888
"1678",1678,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением предметов художественно-эстетического цикла средствами театрального искусства № 123","125009 г.Москва, Хлыновский туп., д.3, стр.5","Центральный административный округ","Пресненский район","Государственное","Центральное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","(499) 690-20-12","schuc123.mskobr.ru","123sch@couo.ru",1103,1104,37.602459,55.758018,258.949444849899,306.966373790188,339.855027029519
"1679",1679,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением физики и математики № 2007","117042, г. Москва, ул. Горчакова, д. 9, корп. 1","Юго-Западный административный округ","район Южное Бутово","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","716-29-35","schuuz2007.mskobr.ru","avbush@rambler.ru",1104,1105,37.532769,55.544728,234.17276987515,299.345887328502,346.878786848047
"1680",1680,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1095","129281, г. Москва, ул. Енисейская, д. 32, корпус 3","Северо-Восточный административный округ","Бабушкинский район","Государственное","Северо-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","(495) 470-91-55; (495) 470-89-32","schi1095.svao.mskobr.ru/","sch1095@yandex.ru",1105,1106,37.670609,55.872439,204.560125656201,293.510373112573,336.041326150345
"1681",1681,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1216","109147 г.Москва, Брошевский пер., д.21","Центральный административный округ","Таганский район","Государственное","Центральное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","(495) 670-06-27","schuc1216.mskobr.ru","sch1216-moscow@yandex.ru",1106,1107,37.67257,55.735097,190.932389211477,275.477296905267,309.947178981474
"1682",1682,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1225","105062 г.Москва, Лялин пер., д.12","Центральный административный округ","Басманный район","Государственное","Центральное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","(495) 916-20-66","schuc1225.mskobr.ru/","1225sch@mail.ru",1107,1108,37.651526,55.758956,205.715580336995,230.120023515341,271.408698261418
"1683",1683,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1248","121352 г.Москва, ул. Давыдковская, д. 2, корпус 6","Западный административный округ","район Фили-Давыдково","Государственное","Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","445-25-50","dskv1148.mskzapad.ru","sch1248@mail.ru",1108,1109,37.473692,55.725532,220.135622394428,301.437412239178,345.515089848563
"1684",1684,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1251 имени генерала Шарля де Голля","125252, г. Москва, ул. Сальвадора Альенде, дом 9","Северный административный округ","район Сокол","Государственное","Северное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","(499) 198-04-81","schs1251.mskobr.ru","ecole1251@rambler.ru",1109,1110,37.50656,55.79367,287.916265610973,363.402823110842,379.021976748951
"1685",1685,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1251 имени генерала Шарля де Голля","125252, г. Москва, ул. Сальвадора Альенде, дом 9","Северный административный округ","район Сокол","Государственное","Северное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","(499) 198-04-81","schs1251.mskobr.ru","ecole1251@rambler.ru",1109,1110,37.506777,55.794194,242.013156739335,316.036284202333,353.472669252051
"1686",1686,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1265","119333, г. Москва, ул. Фотиевой, 14, корп. 1","Юго-Западный административный округ","Гагаринский район","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","137-68-64","http://schuuz1265.mskobr.ru","sch1265@mosuzedu.ru",1110,1111,37.558288,55.699086,429.159180558404,540.278886424704,599.474934743826
"1687",1687,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1267","117465, г.Москва, ул. Теплый Стан, дом 13, корп. 4","Юго-Западный административный округ","район Тёплый Стан","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","337-68-11","schuuz1267.mskobr.ru","1267@inbox.ru, 1267@1267.ru",1111,1112,37.492426,55.620294,215.292805311312,270.614859957495,317.304638004669
"1688",1688,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1275","127473 г.Москва, ул.Достоевского, д.25, стр.1","Центральный административный округ","Тверской район","Государственное","Центральное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","(495) 681-09-67; (495) 631-40-22; (495) 631-67-49; (495) 631-67-19; (495) 684-30-30","schuc1275.mskobr.ru","sch1275@mail.ru",1112,1113,37.606771,55.78369,389.104863301032,407.410149692046,447.201545555168
"1689",1689,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1286","125480, г. Москва, ул. Героев Панфиловцев, д. 15","Северо-Западный административный округ","район Северное Тушино","Государственное","Северо-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","(495) 496-36-25; (495) 495-74-01","schu1286.mskobr.ru","sch1286@szouo.ru",1113,1114,37.423148,55.857177,164.632601433041,190.683934242675,244.786254739149
"1690",1690,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1286","125480, г. Москва, ул. Героев Панфиловцев, д. 15","Северо-Западный административный округ","район Северное Тушино","Государственное","Северо-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","(495) 496-36-25; (495) 495-74-01","schu1286.mskobr.ru","sch1286@szouo.ru",1113,1114,37.423976,55.854912,182.596770848431,203.931891189852,228.464583581664
"1691",1691,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1286","125480, г. Москва, ул. Героев Панфиловцев, д. 15","Северо-Западный административный округ","район Северное Тушино","Государственное","Северо-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","(495) 496-36-25; (495) 495-74-01","schu1286.mskobr.ru","sch1286@szouo.ru",1113,1114,37.426031,55.853252,140.369816763025,183.76754468078,196.863644319204
"1692",1692,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1286","125480, г. Москва, ул. Героев Панфиловцев, д. 15","Северо-Западный административный округ","район Северное Тушино","Государственное","Северо-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","(495) 496-36-25; (495) 495-74-01","schu1286.mskobr.ru","sch1286@szouo.ru",1113,1114,37.426928,55.857191,188.059652245982,201.411119889128,244.226760933225
"1693",1693,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1286","125480, г. Москва, ул. Героев Панфиловцев, д. 15","Северо-Западный административный округ","район Северное Тушино","Государственное","Северо-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","(495) 496-36-25; (495) 495-74-01","schu1286.mskobr.ru","sch1286@szouo.ru",1113,1114,37.426979,55.857048,183.813344943405,196.956185141132,241.236235535334
"1694",1694,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением экологии № 390 имени генерала П.И. Батова","107258, г. Москва, б-р Рокоссовского маршала, д. 34/2","Восточный административный округ","район Богородское","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","160-22-10","sch318.mskobr.ru","sch318@mail.ru",1114,1115,37.715857,55.817681,249.631605752648,280.502517533264,342.280955052266
"1695",1695,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением экологии № 390 имени генерала П.И. Батова","107258, г. Москва, б-р Рокоссовского маршала, д. 34/2","Восточный административный округ","район Богородское","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","160-22-10","sch318.mskobr.ru","sch318@mail.ru",1114,1115,37.72353,55.814577,249.017139100355,325.649183580872,352.868838336789
"1696",1696,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением экологии № 446","107023, г. Москва, площадь Журавлева, д.7,стр.1","Восточный административный округ","район Соколиная Гора","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","(499) 369-09-55","schvu446.mskobr.ru","sch446@bk.ru",1115,1116,37.706144,55.783574,501.652761458816,592.639929936347,651.972462740038
"1697",1697,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением экономики № 1301 имени Е.Т.Гайдара","105187,  Москва,  Измайловское шосе,  дом 60.","Восточный административный округ","район Соколиная Гора","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","(495) 365-56-44; (495) 365-56-66; (495) 365-37-26; (495) 918-32-95","schvu1301.mskobr.ru","economicschool@mail.ru",1116,1117,37.72358,55.780613,234.614167261073,311.497301341846,338.406808922929
"1698",1698,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением экономики № 1301 имени Е.Т.Гайдара","105187,  Москва,  Измайловское шосе,  дом 60.","Восточный административный округ","район Соколиная Гора","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","(495) 365-56-44; (495) 365-56-66; (495) 365-37-26; (495) 918-32-95","schvu1301.mskobr.ru","economicschool@mail.ru",1116,1117,37.733479,55.773096,252.414863264185,478.296355042765,549.863341662465
"1699",1699,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением экономики № 1301 имени Е.Т.Гайдара","105187,  Москва,  Измайловское шосе,  дом 60.","Восточный административный округ","район Соколиная Гора","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","(495) 365-56-44; (495) 365-56-66; (495) 365-37-26; (495) 918-32-95","schvu1301.mskobr.ru","economicschool@mail.ru",1116,1117,37.736037,55.78214,254.218165348431,310.976666805346,365.438644053453
"1700",1700,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением экономики № 1301 имени Е.Т.Гайдара","105187,  Москва,  Измайловское шосе,  дом 60.","Восточный административный округ","район Соколиная Гора","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","(495) 365-56-44; (495) 365-56-66; (495) 365-37-26; (495) 918-32-95","schvu1301.mskobr.ru","economicschool@mail.ru",1116,1117,37.738329,55.780134,271.903152651127,332.867885481654,482.769200947157
"1701",1701,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением экономики № 1301 имени Е.Т.Гайдара","105187,  Москва,  Измайловское шосе,  дом 60.","Восточный административный округ","район Соколиная Гора","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","(495) 365-56-44; (495) 365-56-66; (495) 365-37-26; (495) 918-32-95","schvu1301.mskobr.ru","economicschool@mail.ru",1116,1117,37.741665,55.778894,429.515958563351,506.478673475187,608.006486886699
"1702",1702,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углублённым изучением экономики № 188","127473 г.Москва, 3-ий Самотёчный пер., д.14","Центральный административный округ","Тверской район","Государственное","Центральное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","688-22-54","schuc188.mskobr.ru","188sch@mail.ru",1117,1118,37.614116,55.779773,204.988684951126,224.16211418914,275.758072806937
"1703",1703,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением экономики № 240","127490, город Москва, улица Мусоргского, дом 11 Г","Северо-Восточный административный округ","район Отрадное","Государственное","Северо-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","(499) 203-39-09; (499) 203-39-66","sch240sv.mskobr.ru","sch240@yandex.ru",1118,1119,37.622051,55.865538,211.738137661638,241.37881149799,323.552855581131
"1704",1704,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением экономики № 240","127490, город Москва, улица Мусоргского, дом 11 Г","Северо-Восточный административный округ","район Отрадное","Государственное","Северо-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","(499) 203-39-09; (499) 203-39-66","sch240sv.mskobr.ru","sch240@yandex.ru",1118,1119,37.62329,55.86446,205.865365749397,327.737484486755,370.028878516984
"1705",1705,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углублённым изучением экономики № 506","115432, г. Москва, ул. Трофимова, дом 13 а","Юго-Восточный административный округ","Южнопортовый район","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","(495) 679-05-18","schuvu506.mskobr.ru","sch0506@yandex.ru",1119,1120,37.670281,55.704151,214.30339840005,288.138448335317,336.702316077248
"1706",1706,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением экономики и информатики № 1355","117623, г.Москва, ул. Джанкойская, д.7","Юго-Западный административный округ","район Южное Бутово","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с углубленным изучением отдельных предметов","712-59-63","http://schu1355uz.mskobr.ru","school1355@yandex.ru",1120,1121,37.577805,55.540526,195.054881339705,307.900501496666,364.674021706906
"1707",1707,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным  (русским) компонентом образования № 1022","111621, г.Москва, Муромская ул., д.1А","Восточный административный округ","район Косино-Ухтомский","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования","700-00-80","schev1022.mskobr.ru","hand2007@rambler.ru",1121,1122,37.852625,55.71343,506.192298122303,659.969305967756,737.657077694631
"1708",1708,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (греческим) компонентом образования № 551","117556 г.Москва, Чонгарский б-р, д.12","Южный административный округ","Нагорный район","Государственное","Южное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования","(499) 610-56-98; (499) 619-37-19","scheu551.mskobr.ru","sch551@sinergi.ru",1122,1123,37.612074,55.653808,204.27415702265,248.099678051786,287.970114796075
"1709",1709,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (грузинским) компонентом образования № 1331","121002 г.Москва, Сивцев Вражек пер., д.18","Центральный административный округ","район Арбат","Государственное","Центральное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования","(499) 978-97-58; (499) 973-56-55; (499) 978-70-58","schec1331.mskobr.ru","school1331@rambler.ru",1123,1124,37.594666,55.747715,241.176396107364,289.417760767454,330.75129072152
"1710",1710,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (грузинским) компонентом образования № 1331","121002 г.Москва, Сивцев Вражек пер., д.18","Центральный административный округ","район Арбат","Государственное","Центральное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования","(499) 978-97-58; (499) 973-56-55; (499) 978-70-58","schec1331.mskobr.ru","school1331@rambler.ru",1123,1124,37.609238,55.775478,240.739374726256,310.576712948707,319.632609731632
"1711",1711,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (грузинским) компонентом образования №223","125171 г. Москва, улица 3-ая Радиаторская, д. 8А","Северный административный округ","Войковский район","Государственное","Северное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования","(499) 159-13-24","schse223.mskobr.ru","sch223@mail.ru",1124,1125,37.493259,55.81745,239.58651413538,288.938916599205,338.963582104305
"1712",1712,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (еврейским) компонентом образования № 1621","107078 Москва, Малый Козловский пер., д.3","Центральный административный округ","Басманный район","Государственное","Центральное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования","624-01-58","schec1621.mskobr.ru","1621sch@couo.ru",1125,1126,37.649281,55.764968,226.455106264051,286.49119898365,312.781492862092
"1713",1713,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (еврейским) компонентом образования № 1621","107078 Москва, Малый Козловский пер., д.3","Центральный административный округ","Басманный район","Государственное","Центральное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования","624-01-58","schec1621.mskobr.ru","1621sch@couo.ru",1125,1126,37.649462,55.764645,219.356621279469,281.867911779075,316.691877999569
"1714",1714,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (еврейским) компонентом образования № 1621","107078 Москва, Малый Козловский пер., д.3","Центральный административный округ","Басманный район","Государственное","Центральное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования","624-01-58","schec1621.mskobr.ru","1621sch@couo.ru",1125,1126,37.653486,55.766594,227.207097375741,336.604954448278,391.472021914231
"1715",1715,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским) компонентом образования № 1107","117593, г.Москва, Соловьиный проезд, дом 4, корпус 2","Юго-Западный административный округ","район Ясенево","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования","426-95-11","http://scheuz1107.mskobr.ru/","gou1107@mail.ru",1126,1127,37.547978,55.615021,168.457705553473,258.580800952234,412.406695846054
"1716",1716,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским) компонентом образования № 225","125130, г. Москва, улица Клары Цеткин, дом 27","Северный административный округ","Войковский район","Государственное","Северное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","450-01-73","schser225.mskobr.ru","School225@mail.ru",1127,1128,37.515274,55.824669,280.880450599219,320.930889374477,347.914660819695
"1717",1717,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским) компонентом образования № 838","115487 г. Москва, ул. Новинки,дом 8","Южный административный округ","район Нагатинский Затон","Государственное","Южное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования","(499) 618-13-03","schu838.mskobr.ru","sch838@sinergi.ru",1128,1129,37.670531,55.676112,248.922175990087,280.102834906801,338.956845366082
"1718",1718,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским) компонентом образования № 868","115516 г. Москва, ул. Севанская, дом №13 корп.2","Южный административный округ","район Царицыно","Государственное","Южное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования","325-28-66","scheu868.mskobr.ru","sch868@sinergi.ru",1129,1130,37.653289,55.621235,314.482678728214,363.505334466401,386.877885778593
"1719",1719,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским) компонентом образования № 877","115404 Москва,ул.Бирюлевская, д.23 корп.1","Южный административный округ","район Бирюлёво Восточное","Государственное","Южное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования","(495) 327-19-41","scheu877.mskobr.ru","sch877@sinergi.ru",1130,1131,37.665794,55.59358,169.831235604478,218.330455920994,246.906744129272
"1720",1720,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским) компонентом образования № 877","115404 Москва,ул.Бирюлевская, д.23 корп.1","Южный административный округ","район Бирюлёво Восточное","Государственное","Южное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования","(495) 327-19-41","scheu877.mskobr.ru","sch877@sinergi.ru",1130,1131,37.667269,55.587914,245.700236278289,267.589601538532,294.905651483104
"1721",1721,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским)компонентом образования № 998","115408 город Москва, улица Борисовские пруды, дом 36,корпус 2","Южный административный округ","район Братеево","Государственное","Южное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495) 342-96-94; (495) 342-04-56","scheu998.mskobr.ru","sch998@sinergi.ru",1131,1132,37.763923,55.639577,208.672761357814,228.598670374697,257.46817537589
"1722",1722,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским)компонентом образования № 998","115408 город Москва, улица Борисовские пруды, дом 36,корпус 2","Южный административный округ","район Братеево","Государственное","Южное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495) 342-96-94; (495) 342-04-56","scheu998.mskobr.ru","sch998@sinergi.ru",1131,1132,37.766038,55.639112,176.933118123308,258.547799971194,268.985112442954
