"OBJECTID";"name";"adress";"okrug";"rayon";"form_of_incorporation";"submission";"tip_uchrezhdeniya";"vid_uchrezhdeniya";"telephone";"web_site";"e_mail";"ID";"OBJECTID_1";"COMPLEX_ID";"NUMB";"name_1";"ID_1";"OBJECTID_12";"ID_12";"NAME_12";"TYPE";"NUMB_1";"OKRUG_1";"FOUNDATION_TYPE"
972;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка № 1231 имени В.Д.Поленова";"119002 г.Москва, Спасопесковский пер., д.6, стр.7";"Центральный административный округ";"район Арбат";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"241-43-84";"schuc1231.mskobr.ru";"2277ds@mail.ru";1037;727;20,00;1231,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1231 имени В.Д.Поленова";1037,00;362;20,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1231 имени В.Д. Поленова ";"школа";1231,00;"Центральный административный округ";"присоединение"
973;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка № 1232";"121165 г.Москва, Кутузовский проспект, д.28";"Западный административный округ";"район Дорогомилово";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"(499) 249-21-25";"schu1232.mskzapad.ru";"sch1232.edu@mtu-net.ru";1038;728;754,00;1232,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1232";1038,00;363;754,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1232";"школа";1232,00;"Западный административный округ";"присоединение"
974;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка № 1236";"127254, г. Москва, ул. Яблочкова, дом 10";"Северо-Восточный административный округ";"Бутырский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"639-05-05";"schu1236sv.mskobr.ru";"sch1236@yandex.ru";1039;730;257,00;1236,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1236";1039,00;365;257,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1236";"школа";1236,00;"Северо-Восточный административный округ";"присоединение"
975;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка № 1253";"119021 г.Москва, Зубовский бульвар, д.5, стр.1";"Центральный административный округ";"район Хамовники";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"246-61-18";"schuc1253.mskobr.ru/";"sch.1253@yandex.ru";1041;746;26,00;1253,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1253";1041,00;376;26,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1253";"школа";1253,00;"Центральный административный округ";"присоединение"
976;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка № 1291";"127411, г. Москва, улица Софьи Ковалевской , дом 18А";"Северный административный округ";"Дмитровский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"485-16-45";"schs1291.mskobr.ru";"school1291@mail.ru";1043;779;183,00;1291,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1291";1043,00;216;183,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №771";"школа";771,00;"Северный административный округ";"слияние"
977;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка № 1293";"121552 г.Москва, ул. Оршанская, д. 10, корп.1";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"140-34-89";"schu1293.mskzapad.ru/";"school1293@mail.ru";1044;780;775,00;1293,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1293";1044,00;396;775,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1293";"школа";1293,00;"Западный административный округ";"присоединение"
978;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1205";"117335, г. Москва, улица Архитектора Власова, дом 19а";"Юго-Западный административный округ";"район Черёмушки";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"(499) 128-18-33";"http://schuuz1205.mskobr.ru";"info1205@yandex.ru";1046;705;599,00;1205,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1205";1046,00;353;599,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1205";"школа";1205,00;"Юго-Западный административный округ";"присоединение"
979;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1242";"117546, г. Москва, Востряковский проезд, д.3А";"Южный административный округ";"район Бирюлёво Западное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"(495) 383-97-81";"schuu1242.mskobr.ru";"sch1242@sinergi.ru";1048;736;350,00;1242,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1242";1048,00;369;350,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1242";"школа";1242,00;"Южный административный округ";"присоединение"
980;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1259";"115054 г. Москва, 5-й Монетчиковский пер., д.7";"Центральный административный округ";"район Замоскворечье";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"953-04-16";"schuc1259.mskobr.ru";"dc47@yandex.ru";1049;750;23,00;1259,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1259";1049,00;380;23,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1259 ";"школа";1259,00;"Центральный административный округ";"слияние"
981;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1288 имени Героя Советского Союза Н.В. Троян";"125007, г. Москва, Хорошевское шоссе, дом 3";"Северный административный округ";"Хорошёвский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"945-72-95";"sch1288.mskobr.ru/";"school1288@mail.ru";1050;776;134,00;1288,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1288 имени Героя Советского Союза Н.В. Троян";1050,00;394;134,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1288";"школа";1288,00;"Северный административный округ";"слияние"
982;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1295";"123458, г. Москва, ул. Твардовского, д. 20";"Северо-Западный административный округ";"район Строгино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"(495) 757-36-14";"schu1295.mskobr.ru";"sch1295@szouo.ru";1051;782;64,00;1295,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1295";1051,00;398;64,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1295 ";"школа";1295,00;"Северо-Западный административный округ";"присоединение"
983;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1298";"125466, г. Москва, ул. Юровская, д. 97";"Северо-Западный административный округ";"район Куркино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"(499) 401-86-05";"schusz1298.mskobr.ru";"inbox@school1298.ru";1052;785;97,00;1298,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1298";1052,00;400;97,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1298";"школа";1298,00;"Северо-Западный административный округ";"присоединение"
984;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1302";"123181, г. Москва, ул. Исаковского, д. 29, корп. 1";"Северо-Западный административный округ";"район Строгино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"(495) 942-98-10";"schu1302.mskobr.ru";"sch1302@szouo.ru";1053;787;111,00;1302,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1302";1053,00;402;111,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1302 ";"школа";1302,00;"Северо-Западный административный округ";"присоединение"
985;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1387";"125466, г. Москва, улица Соколово - Мещерская, дом 27";"Северо-Западный административный округ";"район Куркино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"(499) 401-99-98";"schu1387.mskobr.ru";"sch1387@szouo.ru";1055;843;105,00;1387,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1387";1055,00;432;105,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1387 ";"школа";1387,00;"Северо-Западный административный округ";"присоединение"
986;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1399";"125480, г. Москва, ул. Вилиса Лациса, 33-2";"Северо-Западный административный округ";"район Северное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"(495) 949-64-92";"schu1399.mskobr.ru";"sch1399@szouo.ru";1056;847;60,00;1399,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1399";1056,00;436;60,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1399 ";"школа";1399,00;"Северо-Западный административный округ";"присоединение"
987;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1412";"127549 г. Москва, ул. Мурановская, д. 4 а";"Северо-Восточный административный округ";"район Бибирево";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"407-05-30";"http://schu1412sv.mskobr.ru/";"sch1412-1@yandex.ru";1057;855;244,00;1412,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1412";1057,00;441;244,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1412";"школа";1412,00;"Северо-Восточный административный округ";"присоединение"
988;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углублённым изучением иностранных языков № 1900";"125222, г. Москва, улица Дубравная, дом 41, корпус 3";"Северо-Западный административный округ";"район Митино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"(495) 794-10-56";"sch1900.mskobr.ru";"sch1900@szouo.ru";1058;1100;92,00;1900,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углублённым изучением иностранных языков №1900";1058,00;576;92,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1900";"школа";1900,00;"Северо-Западный административный округ";"присоединение"
989;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением информатики № 1254";"107061, г.Москва, ул. Девятая Рота, д.14А";"Восточный административный округ";"район Преображенское";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"(495) 963-40-36; (495) 963-23-04; (495) 963-40-55";"sch380.mskobr.ru";"sch1254@mail.ru";1059;747;613,00;1254,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением информатики №1254";1059,00;377;613,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением информатики №1254";"школа";1254,00;"Восточный административный округ";"присоединение"
990;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением информатики и английского языка № 1307";"119602 г.Москва, ул. Академика Анохина, д. 48";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"(495) 438-67-10";"schu1307.mskzapad.ru";"sch1307@mail.ru";1061;791;767,00;1307,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением информатики и английского языка №1307";1061,00;404;767,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением информатики и английского языка №1307";"школа";1307,00;"Западный административный округ";"присоединение"
991;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением информационных технологий № 1368";"117041, г. Москва, улица Академика Понтрягина, дом 17, корпус 1";"Юго-Западный административный округ";"район Южное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"715-11-63";"http://schuuz1368.mskobr.ru";"sch1368@mosuzedu.ru";1062;827;540,00;1368,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением информационных технологий №1368";1062,00;422;540,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением информационных технологий №1368";"школа";1368,00;"Юго-Западный административный округ";"присоединение"
992;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением испанского языка № 1237 имени Пабло Неруды";"127221, город Москва, проезд Шокальского, дом 11, корпус 3";"Северо-Восточный административный округ";"район Южное Медведково";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"(495) 477-11-55; (495) 477-02-40; (495) 477-00-00; (495) 477-81-02";"schu1237sv.mskobr.ru";"sch1237@mail.ru";1064;731;268,00;1237,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением испанского языка №1237 имени Пабло Неруды";1064,00;521;268,00;"Государственное бюджетное образовательное учреждение города Москвы лицей №1568 имени Пабло Неруды";"лицей";1568,00;"Северо-Восточный административный округ";"слияние"
993;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением испанского языка № 1252 имени Сервантеса";"125080 г. Москва, ул. Дубосековская, д. 3";"Северный административный округ";"район Сокол";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"(499) 158-69-89";"schs1252.mskobr.ru";"sc1252@yandex.ru";1065;745;166,00;1252,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением испанского языка №1252 имени Сервантеса";1065,00;375;166,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением испанского языка №1252 имени Сервантеса";"школа";1252,00;"Северный административный округ";"присоединение"
994;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением математики № 1350";"109444, г. Москва, Ташкентский пер., д. 7, корп. 3";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"(495) 372-05-22; (495) 376-59-11";"schuvu1350.mskobr.ru";"sch1350@mail.ru";1066;810;427,00;1350,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением математики №1350";1066,00;419;427,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов №1363";"школа";1363,00;"Юго-Восточный административный округ";"присоединение"
995;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением математики № 1360";"107564, г. Москва, ул. Краснобогатырская, д. 21А";"Восточный административный округ";"район Богородское";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"964-41-10";"schvu1360.mskobr.ru";"sh1360@mail.ru";1067;820;644,00;1360,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением математики №1360";1067,00;417;644,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением математики №1360";"школа";1360,00;"Восточный административный округ";"присоединение"
996;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением математики и информатики № 7";"119331, г. Москва, улица Крупской, дом 17";"Юго-Западный административный округ";"Ломоносовский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"138-38-09";"http://schuzu7.mskobr.ru/";"school_7@inbox.ru";1069;5;587,00;7,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением математики и информатики №7";1069,00;3;587,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением математики и информатики №7";"школа";7,00;"Юго-Западный административный округ";"присоединение"
997;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка № 1212";"123060, г. Москва, ул. Маршала Рыбалко, д. 14";"Северо-Западный административный округ";"район Щукино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"(499) 728-40-02";"http://schusz1212.mskobr.ru/";"sch1212@szouo.ru";1073;711;103,00;1212,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1212";1073,00;358;103,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1212";"школа";1212,00;"Северо-Западный административный округ";"присоединение"
998;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка № 1269";"111401, г. Москва, 3-я Владимирская ул., д.26А";"Восточный административный округ";"район Перово";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"305-70-20";"schvu1269.mskobr.ru";"sch1269@yandex.ru";1076;759;652,00;1269,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1269";1076,00;385;652,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1269 ";"школа";1269,00;"Восточный административный округ";"присоединение"
999;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка № 1271";"115172 г.Москва, 5-ый Котельнический пер., д.8,стр.1";"Центральный административный округ";"Таганский район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"915-64-61";"schuc1271.mskobr.ru";"sosh1271@mail.ru";1077;761;24,00;1271,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1271";1077,00;655;24,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2104 «Школа на Таганке»";"школа";2104,00;"Центральный административный округ";"слияние"
1000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка № 1294";"107258, Москва, Глебовская улица, дом 10";"Восточный административный округ";"район Богородское";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"169-35-93";"dsv222.mskobr.ru/";"schl1294@mail.ru";1079;781;612,00;1294,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1294";1079,00;397;612,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1294";"школа";1294,00;"Восточный административный округ";"присоединение"
